target_taxid	organism_taxid	assembly_accession	note
1751537	984905	GCA_975301275.1	genus_representative
1751540	984905	GCA_975301275.1	genus_representative
1751541			no_assembly
1751544			no_assembly
1753982	303400	GCA_019593585.1	genus_representative
1780255			no_assembly
1790224			no_assembly
1795230			no_assembly
1875977	1875977	GCA_022683975.1	species_level
1875987	177636	GCA_022495005.1	genus_representative
1876357			no_assembly
1886436	85882	GCA_965637395.1	genus_representative
1926177			no_assembly
1963269	1348612	GCA_003547095.1	genus_representative
1982783			no_assembly
2014047			no_assembly
2045230			no_assembly
2267583	303400	GCA_019593585.1	genus_representative
2528720	303400	GCA_019593585.1	genus_representative
2578536			no_assembly
2604012			no_assembly
2707515			no_assembly
2717729			no_assembly
2864982	878211	GCA_944039245.1	genus_representative
2875554			no_assembly
2881961			no_assembly
2886538	2741129	GCA_958295665.1	genus_representative
2890055	2890055	GCA_964267185.3	species_level
2891110			no_assembly
2905844	2905844	GCA_034694025.1	species_level
2961521			no_assembly
2998212	198258	GCA_034694065.1	genus_representative
3040858	984905	GCA_975301275.1	genus_representative
3123227			no_assembly
3123433	177636	GCA_022495005.1	genus_representative
3135909			no_assembly
